Day,T,pH,Ammonia,Nitrate,TN,OM,AR,cNH3,literature,C/N Ratio,exp_id,stage
36,26.22710623,7.198890019,790.3225806,73.84615385,2.011235955,64.61818182,0.154843498,0.192495922,,18.63607494,21,3
45,25.03663004,7.273048038,630.9297913,145.3846154,2.039325843,63.38181818,0.160254267,0.192495922,,18.0277202,21,3
1,30.98901099,7.074341791,26.5654649,40.76923077,1.807865169,74.47272727,0.11155734,0,,23.8942806,22,1
3,46.73992674,8.033140169,106.2618596,10.76923077,1.871910112,70.4,0.129355662,0.029363785,,21.81475839,22,1
5,59.83516484,8.530843022,166.0341556,5.384615385,1.931460674,68.87272727,0.136030033,0.137030995,,20.68350565,22,2
10,58.55311355,7.826592995,126.1859583,13.07692308,1.994382022,67.81818182,0.140638527,0.287112561,,19.72425144,22,2
15,54.52380952,7.927054874,86.33776091,22.30769231,2.020224719,66.65454545,0.145723762,0.326264274,,19.13783601,22,2
21,34.74358974,8.072920623,39.84819734,39.23076923,2.026966292,64.76363636,0.153987268,0.33278956,,18.53307305,22,3
28,26.22710623,8.128566703,26.5654649,76.92307692,2.03258427,64,0.157324454,0.345840131,,18.26392656,22,3
36,25.58608059,8.130159391,13.28273245,176.1538462,2.065168539,63.34545455,0.160184898,0.345840131,,17.79191499,22,3
45,25.12820513,8.131984857,13.28273245,246.1538462,2.085393258,62.83636364,0.162409689,0.345840131,,17.47776186,22,3
1,30.98901099,6.703637455,26.5654649,40.76923077,1.771910112,73.30909091,0.11155734,0,,23.99821201,23,1
3,49.76190476,7.119953935,723.9089184,10.76923077,1.761797753,70.90909091,0.121588381,0.006525285,,23.3457916,23,1
5,57.36263736,7.445854722,2138.519924,4.615384615,1.825842697,68.83636364,0.130251554,0.07177814,,21.86841465,23,2
10,62.94871795,6.868198915,1859.582543,23.07692308,1.951685393,67.23636364,0.136938915,0.60685155,,19.98283692,23,2
15,57.36263736,6.389975865,1434.535104,41.53846154,1.988764045,64.90909091,0.146665985,0.649265905,,18.93149911,23,2
21,42.25274725,6.572020141,1255.218216,72.30769231,2.008988764,62.87272727,0.155177172,0.659053834,,18.15296332,23,3
28,26.86813187,6.907954866,1089.184061,109.2307692,2.019101124,61.23636364,0.162016518,0.672104405,,17.59195322,23,3
36,26.22710623,7.180819132,883.3017078,127.6923077,2.028089888,60.36363636,0.16566417,0.672104405,,17.26437788,23,3
45,25.03663004,7.381546868,697.3434535,176.9230769,2.040449438,60.14545455,0.166576083,0.675367047,,17.09777952,23,3
0,30.0130662,6.249558304,955.3398058,589.9805447,1.908560311,69.56699346,0.085251492,0,"Zhao, Y., et al., Effect of enriched thermotolerant nitrifying bacteria inoculation on reducing nitrogen loss during sewage sludge composting. Bioresource Technology, 2020. 311: p. 123461.",15.74509804,24,1
3,49.22038328,6.772084806,2178.640777,619.1634241,1.680933852,63.04738562,0.103514765,0.056173464,,16.5,24,1
7,52.29094077,8.534893993,4578.640777,619.1634241,1.791828794,53.65604575,0.129822574,0.227998176,,13.59477124,24,2
10,50.20034843,8.506183746,3413.592233,706.7120623,1.972762646,44.96323529,0.154173604,0.302345407,,11.28431373,24,2
13,47.32578397,8.253533569,2796.116505,942.6070039,2.054474708,42.79003268,0.160261362,0.3320843,,10.32352941,24,3
17,38.7674216,8.161660777,1957.281553,1061.770428,2.159533074,37.43464052,0.175263336,0.338692943,,8.767973856,24,3
20,31.84233449,7.891784452,1234.951456,1239.299611,2.276264591,34.64052288,0.183090453,0.345301585,,7.784313725,24,3
0,30.07839721,6.416077739,897.0873786,560.7976654,1.89688716,69.56699346,0.085070183,0,,15.99673203,25,1
3,57.45209059,5.973939929,2400,738.3268482,1.575875486,62.58169935,0.104596359,0.03791888,,16.08823529,25,2
7,55.23083624,8.270759717,4077.669903,945.0389105,1.96692607,45.73937908,0.15167614,0.161567402,,10.9869281,25,2
10,52.09494774,8.161660777,3122.330097,1061.770428,2.177042802,39.84068627,0.168164911,0.212675457,,9.111111111,25,2
13,48.89372822,8.23630742,2563.106796,1032.587549,2.206225681,42.24673203,0.161439228,0.229161927,,8.973856209,25,3
